job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
Citizens Financial Group:123debac-6439-420e-b440-1aa1f1d9e451,Citizens Financial Group,Business Insights Intern - Multiple Teams,"Boston, MA; Johnston, RI; Columbus, OH",AI/ML/Data,https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/49283,2026-09-11,2026-09-11,2026-09-11T14:41:19+00:00,2026-09-11 07:41 Fri,,false,,,,false,simplify:Simplify Internships:123debac-6439-420e-b440-1aa1f1d9e451,2026-09-11
Citizens Financial Group:5cd8a4f6-0d01-4524-bc85-e40a74e53d54,Citizens Financial Group,Business Insights Intern - Multiple Teams,"Boston, MA; Johnston, RI; Columbus, OH",AI/ML/Data,https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/49279,2026-09-11,2026-09-11,2026-09-11T14:41:19+00:00,2026-09-11 07:41 Fri,,false,,,,false,simplify:Simplify Internships:5cd8a4f6-0d01-4524-bc85-e40a74e53d54,2026-09-11
Citizens Financial Group:5ee99f3c-d337-4cf1-87c9-d734f42a1f3f,Citizens Financial Group,Data Analyst Intern - Multiple Teams,"Boston, MA; Johnston, RI; Columbus, OH",AI/ML/Data,https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/49282,2026-09-11,2026-09-11,2026-09-11T14:41:19+00:00,2026-09-11 07:41 Fri,,false,,,,false,simplify:Simplify Internships:5ee99f3c-d337-4cf1-87c9-d734f42a1f3f,2026-09-11
Citizens Financial Group:e0125f9d-5b88-4e1f-844e-39275d743833,Citizens Financial Group,Data Analyst Intern - Multiple Teams,"Boston, MA; Johnston, RI; Columbus, OH",AI/ML/Data,https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/49278,2026-09-11,2026-09-11,2026-09-11T14:41:19+00:00,2026-09-11 07:41 Fri,,false,,,,false,simplify:Simplify Internships:e0125f9d-5b88-4e1f-844e-39275d743833,2026-09-11
Citizens Financial Group:db198792-f1a9-4eb5-88da-5c5547ebe0fa,Citizens Financial Group,Data Engineer,"Plano, TX; Johnston, RI; Phoenix, AZ",AI/ML/Data,https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/49290,2026-09-11,2026-09-11,2026-09-11T14:41:19+00:00,2026-09-11 07:41 Fri,Software Engineering,true,Keyword,48,僅以關鍵字比對評分（只比對職稱）,false,simplify:Simplify New Grad:db198792-f1a9-4eb5-88da-5c5547ebe0fa,2026-09-11
Citizens Financial Group:3238daa0-03ad-4e44-a14b-4d25ad9d4fa0,Citizens Financial Group,Data Engineer Intern - Enterprise Technology & Security,"Plano, TX; Johnston, RI; Phoenix, AZ",AI/ML/Data,https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/49285,2026-09-11,2026-09-11,2026-09-11T14:41:19+00:00,2026-09-11 07:41 Fri,Software Engineering,true,Keyword,51,此職缺只有職稱、沒有內文可評分，自動放行,true,simplify:Simplify Internships:3238daa0-03ad-4e44-a14b-4d25ad9d4fa0,2026-09-11
Citizens Financial Group:82039341-ea93-4f72-b913-0a78e53dd7d7,Citizens Financial Group,Data Management Intern - Enterprise Data and Analytics,"Boston, MA; Johnston, RI; Columbus, OH",AI/ML/Data,https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/49281,2026-09-11,2026-09-11,2026-09-11T14:41:19+00:00,2026-09-11 07:41 Fri,,false,,,,false,simplify:Simplify Internships:82039341-ea93-4f72-b913-0a78e53dd7d7,2026-09-11
Citizens Financial Group:e4891cf7-47bc-4b62-ac00-ef0759846dfa,Citizens Financial Group,Data Management Intern - Multiple Teams,"Boston, MA; Johnston, RI; Columbus, OH",AI/ML/Data,https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/49277,2026-09-11,2026-09-11,2026-09-11T14:41:19+00:00,2026-09-11 07:41 Fri,,false,,,,false,simplify:Simplify Internships:e4891cf7-47bc-4b62-ac00-ef0759846dfa,2026-09-11
Citizens Financial Group:2bd0a1e0-53b9-4154-a4eb-1c4f5c86e603,Citizens Financial Group,Data Science Intern - Multiple Teams,"Boston, MA; Johnston, RI; Columbus, OH",AI/ML/Data,https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/49280,2026-09-11,2026-09-11,2026-09-11T14:41:19+00:00,2026-09-11 07:41 Fri,AI / ML,true,Keyword,51,此職缺只有職稱、沒有內文可評分，自動放行,true,simplify:Simplify Internships:2bd0a1e0-53b9-4154-a4eb-1c4f5c86e603,2026-09-11
Citizens Financial Group:f80eca44-d898-4e0d-8399-e64e67e9e67d,Citizens Financial Group,Data Science Intern - Multiple Teams,"Boston, MA; Johnston, RI; Columbus, OH",AI/ML/Data,https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/49276,2026-09-11,2026-09-11,2026-09-11T14:41:19+00:00,2026-09-11 07:41 Fri,AI / ML,true,Keyword,51,此職缺只有職稱、沒有內文可評分，自動放行,true,simplify:Simplify Internships:f80eca44-d898-4e0d-8399-e64e67e9e67d,2026-09-11
Citizens Financial Group:9c4220ab-f3bd-423f-94ac-5cdcd9d06c63,Citizens Financial Group,Software Engineer,"Plano, TX; Johnston, RI; Phoenix, AZ",Software,https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/49291,2026-09-11,2026-09-11,2026-09-11T14:41:19+00:00,2026-09-11 07:41 Fri,Software Engineering,true,Keyword,56,僅以關鍵字比對評分（只比對職稱）,true,simplify:Simplify New Grad:9c4220ab-f3bd-423f-94ac-5cdcd9d06c63,2026-09-11
Citizens Financial Group:df13ab5f-9eb4-4357-86df-afc457026297,Citizens Financial Group,Software Engineer Intern,"Plano, TX; Johnston, RI; Phoenix, AZ",Software,https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/49286,2026-09-11,2026-09-11,2026-09-11T14:41:19+00:00,2026-09-11 07:41 Fri,Software Engineering,true,Keyword,51,此職缺只有職稱、沒有內文可評分，自動放行,true,simplify:Simplify Internships:df13ab5f-9eb4-4357-86df-afc457026297,2026-09-11
