job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
Radiance Technologies:2626df77-3e50-4e9d-9b74-5bcbdd516039,Radiance Technologies,Entry Level Microelectronics Research and Development Engineer,"Huntsville, AL",Hardware,https://radiancetech.wd12.myworkdayjobs.com/Radiance_External/job/Huntsville-AL/Entry-level-Microelectronics-R-D-Engineer_HR102332,2026-07-31,2026-07-31,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:2626df77-3e50-4e9d-9b74-5bcbdd516039,2026-07-31
Radiance Technologies:4d33364c-c685-48f1-bdaf-675e93d5a63b,Radiance Technologies,Entry-level Microelectronics R&D Engineer,"Ruston, LA",Hardware,https://radiancetech.wd12.myworkdayjobs.com/Radiance_External/job/Ruston-LA/Entry-level-Microelectronics-R-D-Engineer_HR102341,2026-08-10,2026-08-10,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:4d33364c-c685-48f1-bdaf-675e93d5a63b,2026-08-10
Radiance Technologies:https://radiancetech.wd12.myworkdayjobs.com/en-US/radiance_external/job/All-Remote-Locations/Junior-Data-Analyst_HR102245,Radiance Technologies,Junior Data Analyst,AL Home,,https://radiancetech.wd12.myworkdayjobs.com/en-US/radiance_external/job/All-Remote-Locations/Junior-Data-Analyst_HR102245,,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply AI:https://radiancetech.wd12.myworkdayjobs.com/en-US/radiance_external/job/All-Remote-Locations/Junior-Data-Analyst_HR102245,
Radiance Technologies:https://radiancetech.wd12.myworkdayjobs.com/en-US/radiance_external/job/Beavercreek-OH/Junior-Data-Scientist_HR102197,Radiance Technologies,Junior Data Scientist,"Beavercreek, OH",,https://radiancetech.wd12.myworkdayjobs.com/en-US/radiance_external/job/Beavercreek-OH/Junior-Data-Scientist_HR102197,,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply AI:https://radiancetech.wd12.myworkdayjobs.com/en-US/radiance_external/job/Beavercreek-OH/Junior-Data-Scientist_HR102197,
Radiance Technologies:https://radiancetech.wd12.myworkdayjobs.com/en-US/radiance_external/job/Huntsville-AL/Junior-Software-Engineer_HR102303,Radiance Technologies,Junior Software Engineer,"Huntsville, AL",,https://radiancetech.wd12.myworkdayjobs.com/en-US/radiance_external/job/Huntsville-AL/Junior-Software-Engineer_HR102303,,,2026-07-23T14:32:01+00:00,2026-07-23 07:32 Thu,,false,,,,false,speedyapply:SpeedyApply SWE:https://radiancetech.wd12.myworkdayjobs.com/en-US/radiance_external/job/Huntsville-AL/Junior-Software-Engineer_HR102303,
Radiance Technologies:https://radiancetech.wd12.myworkdayjobs.com/en-US/radiance_external/job/Stennis-Space-Center-MS/Junior-Software-Engineer_HR102305,Radiance Technologies,Junior Software Engineer,"Stennis Space Center, MS",,https://radiancetech.wd12.myworkdayjobs.com/en-US/radiance_external/job/Stennis-Space-Center-MS/Junior-Software-Engineer_HR102305,,,2026-07-23T14:32:01+00:00,2026-07-23 07:32 Thu,,false,,,,false,speedyapply:SpeedyApply SWE:https://radiancetech.wd12.myworkdayjobs.com/en-US/radiance_external/job/Stennis-Space-Center-MS/Junior-Software-Engineer_HR102305,
Radiance Technologies:https://radiancetech.wd12.myworkdayjobs.com/en-US/radiance_external/job/Stennis-Space-Center-MS/Junior-Software-Engineer_HR102316,Radiance Technologies,Junior Software Engineer,"Stennis Space Center, MS",,https://radiancetech.wd12.myworkdayjobs.com/en-US/radiance_external/job/Stennis-Space-Center-MS/Junior-Software-Engineer_HR102316,,,2026-07-26T13:59:05+00:00,2026-07-26 06:59 Sun,,false,,,,false,speedyapply:SpeedyApply SWE:https://radiancetech.wd12.myworkdayjobs.com/en-US/radiance_external/job/Stennis-Space-Center-MS/Junior-Software-Engineer_HR102316,
Radiance Technologies:https://radiancetech.wd12.myworkdayjobs.com/en-US/radiance_external/job/Dayton-Office/Junior-Software-Engineer_HR102399,Radiance Technologies,Junior Software Engineer,"Dayton, OH",,https://radiancetech.wd12.myworkdayjobs.com/en-US/radiance_external/job/Dayton-Office/Junior-Software-Engineer_HR102399,,,2026-09-10T16:16:30+00:00,2026-09-10 09:16 Thu,,false,,,,false,speedyapply:SpeedyApply SWE:https://radiancetech.wd12.myworkdayjobs.com/en-US/radiance_external/job/Dayton-Office/Junior-Software-Engineer_HR102399,
Radiance Technologies:https://radiancetech.wd12.myworkdayjobs.com/en-US/radiance_external/job/Beavercreek-OH/Junior-Software-Engineer_HR102428,Radiance Technologies,Junior Software Engineer,"Beavercreek, OH",,https://radiancetech.wd12.myworkdayjobs.com/en-US/radiance_external/job/Beavercreek-OH/Junior-Software-Engineer_HR102428,,,2026-09-25T17:08:41+00:00,2026-09-25 10:08 Fri,,false,,,,false,speedyapply:SpeedyApply SWE:https://radiancetech.wd12.myworkdayjobs.com/en-US/radiance_external/job/Beavercreek-OH/Junior-Software-Engineer_HR102428,
Radiance Technologies:20e60473-ab0b-483d-8db0-683b9665e97c,Radiance Technologies,Modeling Engineer Intern - Analytics & Simulation Sciences - Mass,"Beavercreek, OH",Software,https://radiancetech.wd12.myworkdayjobs.com/Radiance_External/job/Beavercreek-OH/Modeling--Analytics----Simulation-Sciences--MASS--Engineer-Intern_HR102436,2026-09-24,2026-09-24,2026-09-24T23:16:33+00:00,2026-09-24 16:16 Thu,,false,,,,false,simplify:Simplify Internships:20e60473-ab0b-483d-8db0-683b9665e97c,2026-09-24
