job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Bosch:744000134840254,Bosch Home Comfort,A.1. Integration Intern,"Columbia City, IN",AI/ML/Data,https://jobs.smartrecruiters.com/BoschGroup/744000134840254,2026-07-02,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,smartrecruiters:Bosch:744000134840254|simplify:Simplify Internships:eb6abc1f-b44d-436b-a6ab-6ab6af1e18c6
Bosch:744000140317669,Bosch Home Comfort,ADAS Software Engineer Intern,"Plymouth, MI",Hardware,https://jobs.smartrecruiters.com/BoschGroup/744000140317669,2026-07-28,2026-07-28T18:17:27+00:00,2026-07-28 11:17 Tue,Software Engineering,true,Keyword,40,keyword-only heuristic,false,smartrecruiters:Bosch:744000140317669|simplify:Simplify Internships:7b87bfa3-a92f-4b2b-b94d-0a62fcd2df64
Bosch:744000141302469,Bosch Home Comfort,Artificial Intelligence and Software Development Engineering Intern,"Plymouth, MI",Software,https://jobs.smartrecruiters.com/BoschGroup/744000141302469,2026-08-03,2026-08-03T15:59:41+00:00,2026-08-03 08:59 Mon,,false,,,,false,smartrecruiters:Bosch:744000141302469|simplify:Simplify Internships:f258c80b-4140-4f8b-a3f4-4c1682682d30
Bosch:744000139649345,Bosch Home Comfort,Autonomous Driving Intern,"Sunnyvale, CA",AI/ML/Data,https://jobs.smartrecruiters.com/BoschGroup/744000139649345,2026-07-24,2026-07-24T16:17:47+00:00,2026-07-24 09:17 Fri,AI / ML,true,Keyword,43,keyword-only heuristic,false,smartrecruiters:Bosch:744000139649345|simplify:Simplify Internships:950b5180-0bc8-4444-8955-f853d4e2e6e6
Bosch:744000140462550,Bosch Home Comfort,Autonomous Driving Intern,"Sunnyvale, CA",AI/ML/Data,https://jobs.smartrecruiters.com/BoschGroup/744000140462550,2026-07-29,2026-07-29T13:41:42+00:00,2026-07-29 06:41 Wed,AI / ML,true,Keyword,43,keyword-only heuristic,false,smartrecruiters:Bosch:744000140462550|simplify:Simplify Internships:77059d8e-b73d-47d8-916b-60c5925c13ab
Bosch:744000137672769,Bosch Home Comfort,Business Intelligence Intern,"Belmont, MA",AI/ML/Data,https://jobs.smartrecruiters.com/BoschGroup/744000137672769,2026-07-14,2026-07-14T13:58:58+00:00,2026-07-14 06:58 Tue,,false,,,,false,smartrecruiters:Bosch:744000137672769|simplify:Simplify Internships:d468be51-8b10-474e-8f23-181ab53a5712
Bosch:744000134542009,Bosch Home Comfort,Foreign Trade Data Analytics Intern,"Western Springs, IL",AI/ML/Data,https://jobs.smartrecruiters.com/BoschGroup/744000134542009,2026-07-02,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,smartrecruiters:Bosch:744000134542009|simplify:Simplify Internships:3e31bf3f-b681-4efa-8ddd-f5586886d019
Bosch:744000134543799,Bosch Home Comfort,Hardware Prototyping Intern - Data Center Rack,"Sunnyvale, CA",Hardware,https://jobs.smartrecruiters.com/BoschGroup/744000134543799,2026-07-02,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,smartrecruiters:Bosch:744000134543799|simplify:Simplify Internships:d132216a-f98b-4a13-9f0f-2204eee2733a
Bosch:744000140089589,Bosch Home Comfort,Powertrain Controls Software Engineer Intern,"Southfield, MI",Hardware,https://jobs.smartrecruiters.com/BoschGroup/744000140089589,2026-07-27,2026-07-27T20:41:29+00:00,2026-07-27 13:41 Mon,Software Engineering,true,Keyword,40,keyword-only heuristic,false,smartrecruiters:Bosch:744000140089589|simplify:Simplify Internships:d71bed9a-99bb-4a02-ae62-3ee72d73fb36
Bosch:744000140457960,Bosch Home Comfort,Product Management Intern,"Southfield, MI",Product,https://jobs.smartrecruiters.com/BoschGroup/744000140457960,2026-07-29,2026-07-29T12:59:31+00:00,2026-07-29 05:59 Wed,,false,,,,false,smartrecruiters:Bosch:744000140457960|simplify:Simplify Internships:2970def3-bba8-4f36-a2fe-f710b8bf6414
Bosch:744000136313549,Bosch Home Comfort,Research Intern,"Sunnyvale, CA",AI/ML/Data,https://jobs.smartrecruiters.com/BoschGroup/744000136313549,2026-07-07,2026-07-08T02:45:08+00:00,2026-07-07 19:45 Tue,,false,,,,false,smartrecruiters:Bosch:744000136313549|simplify:Simplify Internships:a6e53c8e-9291-4579-94b4-9950027dedf7
